factor_id,source_factor_id,name,description,scope,category_level_1,category_level_2,category_level_3,category_level_4,column_text,factor_value,numerator_unit,denominator_unit,original_uom,impact_category,characterisation_basis,geography,lifecycle_boundary,dataset_type,is_full_unit_process_lci,data_type,factor_status,lca_relevance,lca_use_status,requires_human_review,automated_assignment_allowed,is_placeholder,source_name,source_publisher,source_year,source_version,publication_date,source_file_updated,source_page_last_updated,valid_from,valid_to,license,license_decision,source_url,methodology_url,license_url,review_notes
UK-DESNZ-2026-1_100_1002_7_1,1_100_1002_7_1,Fuels / Gaseous fuels / LNG,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,LNG,,,0.20434,kg CO2e,kWh (Net CV),kWh (Net CV),Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1002_6_1,1_100_1002_6_1,Fuels / Gaseous fuels / LNG,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,LNG,,,0.18442,kg CO2e,kWh (Gross CV),kWh (Gross CV),Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1003_15_1,1_100_1003_15_1,Fuels / Gaseous fuels / LPG,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,LPG,,,2939.36095,kg CO2e,tonnes,tonnes,Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1003_8_1,1_100_1003_8_1,Fuels / Gaseous fuels / LPG,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,LPG,,,1.55713,kg CO2e,litres,litres,Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1003_7_1,1_100_1003_7_1,Fuels / Gaseous fuels / LPG,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,LPG,,,0.23032,kg CO2e,kWh (Net CV),kWh (Net CV),Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1003_6_1,1_100_1003_6_1,Fuels / Gaseous fuels / LPG,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,LPG,,,0.2145,kg CO2e,kWh (Gross CV),kWh (Gross CV),Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1004_15_1,1_100_1004_15_1,Fuels / Gaseous fuels / Natural gas,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,Natural gas,,,2507.72441,kg CO2e,tonnes,tonnes,Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1004_1_1,1_100_1004_1_1,Fuels / Gaseous fuels / Natural gas,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,Natural gas,,,2.02633,kg CO2e,cubic metres,cubic metres,Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1004_7_1,1_100_1004_7_1,Fuels / Gaseous fuels / Natural gas,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,Natural gas,,,0.20199,kg CO2e,kWh (Net CV),kWh (Net CV),Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1004_6_1,1_100_1004_6_1,Fuels / Gaseous fuels / Natural gas,Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,Natural gas,,,0.18231,kg CO2e,kWh (Gross CV),kWh (Gross CV),Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
UK-DESNZ-2026-1_100_1005_15_1,1_100_1005_15_1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),Official UK Government GHG conversion factor for company reporting; normalized from the 2026 revised flat file.,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,2536.85441,kg CO2e,tonnes,tonnes,Climate change,UK Government 2026 methodology; predominantly IPCC AR5 GWP100 with category-specific exceptions documented in source methodology,United Kingdom / category-specific where stated in source row,DIRECT_COMBUSTION,GHG_CONVERSION_FACTOR,NO,SECONDARY,ACTIVE_PUBLIC,HIGH,RECOMMENDED_WITH_HUMAN_REVIEW,YES,NO,NO,UK Government GHG Conversion Factors for Company Reporting 2026,Department for Energy Security and Net Zero,2026,1.2,2026-06-11,2026-07-10,2026-07-31,2026-01-01,2026-12-31,Open Government Licence v3.0,ALLOW_WITH_ATTRIBUTION,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Human methodological review is required before use in a product LCA. This is a characterised UK GHG conversion factor, not a complete unit-process LCI. Check geography, period, boundary, unit and double-counting with direct/WTT pairs."
